high,full,control,value,model_select,model_flag,cluster_flag
0,0,0,0,NA                                                                                                                                                                                                                                                                                  ,NA,NA
1,0,0,100,high,NA,F
2,0,0,200,high,high_cluster,T
0,1,0,10,full,NA,F
1,1,0,110,full,NA,F
2,1,0,210,full,high_cluster,F
0,2,0,20,full,full_cluster,T
1,2,0,120,full,full_cluster,T
2,2,0,220,full,full_cluster,T
0,0,1,1,control,NA,F
1,0,1,101,control,NA,F
2,0,1,201,control,high_cluster,F
0,1,1,11,control,NA,F
1,1,1,111,control,NA,F
2,1,1,211,control,high_cluster,F
0,2,1,21,control,full_cluster,F
1,2,1,121,control,full_cluster,F
2,2,1,221,control,full_cluster,F
0,0,2,2,control,control_cluster,T
1,0,2,102,control,control_cluster,T
2,0,2,202,control,control_cluster,T
0,1,2,12,control,control_cluster,T
1,1,2,112,control,control_cluster,T
2,1,2,212,control,control_cluster,T
0,2,2,22,control,control_cluster,T
1,2,2,122,control,control_cluster,T
2,2,2,222,control,control_cluster,T